flight_time,distance_to_goal,success,collision,termination_reason,gui,walls,hole_width,hole_height,padding,run_id
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.45,0.03,3
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.35,0.03,0
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.35,0.03,3
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.35,0.03,1
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.45,0.03,2
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.35,0.03,4
2.7166666666666965,3.4702712282090453,False,True,collision,False,2,0.35,0.45,0.03,4
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.45,0.03,1
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.35,0.03,2
1.8541666666666614,3.7076740415239477,False,True,collision,False,2,0.35,0.45,0.03,0
7.716666666666549,0.09933726649685275,True,False,goal_reached,False,2,0.35,0.45,0.07,0
5.312500000000019,2.044118530633837,False,True,collision,False,2,0.35,0.35,0.05,0
5.312500000000019,2.044118530633837,False,True,collision,False,2,0.35,0.35,0.05,3
3.795833333333417,1.9479544592585667,False,True,collision,False,2,0.35,0.55,0.03,0
5.312500000000019,2.044118530633837,False,True,collision,False,2,0.35,0.35,0.05,1
3.795833333333417,1.9479544592585667,False,True,collision,False,2,0.35,0.55,0.03,1
5.041666666666701,1.4626173496461143,False,True,collision,False,2,0.35,0.45,0.07,4
1.8291666666666615,3.7147495917486997,False,True,collision,False,2,0.35,0.55,0.03,2
1.8291666666666615,3.7147495917486997,False,True,collision,False,2,0.35,0.55,0.03,4
3.795833333333417,1.9479544592585667,False,True,collision,False,2,0.35,0.55,0.03,3
5.312500000000019,2.044118530633837,False,True,collision,False,2,0.35,0.35,0.05,4
2.1250000000000004,3.575014979106478,False,True,collision,False,2,0.35,0.55,0.05,0
6.0666666666666424,0.09993464532358601,True,False,goal_reached,False,2,0.35,0.55,0.05,1
6.0666666666666424,0.09993464532358601,True,False,goal_reached,False,2,0.35,0.55,0.05,2
3.3500000000000614,1.9386796016403052,False,True,collision,False,2,0.35,0.55,0.05,4
3.85833333333342,1.5356601211471654,False,True,collision,False,2,0.35,0.55,0.07,0
8.262499999999852,0.09810910585140618,True,False,goal_reached,False,2,0.35,0.55,0.07,1
5.312500000000019,2.044118530633837,False,True,collision,False,2,0.35,0.35,0.05,2
7.845833333333208,0.09942618614857855,True,False,goal_reached,False,2,0.35,0.55,0.05,3
2.5875000000000234,3.3439260060230063,False,True,collision,False,2,0.35,0.65,0.03,0
4.070833333333423,1.6182892924513266,False,True,collision,False,2,0.35,0.55,0.07,4
8.262499999999852,0.09810910585140618,True,False,goal_reached,False,2,0.35,0.55,0.07,2
6.904166666666595,1.9842918941642245,False,True,collision,False,2,0.35,0.45,0.05,0
3.795833333333417,1.9479544592585667,False,True,collision,False,2,0.35,0.65,0.03,1
5.92916666666665,1.7367316257931318,False,True,collision,False,2,0.35,0.65,0.03,2
6.904166666666595,1.9842918941642245,False,True,collision,False,2,0.35,0.45,0.05,3
6.970833333333258,0.09975385818406561,True,False,goal_reached,False,2,0.35,0.65,0.05,0
4.7583333333333835,1.7159172304700268,False,True,collision,False,2,0.35,0.65,0.05,2
5.862499999999987,0.09969364602519394,True,False,goal_reached,False,2,0.35,0.65,0.05,1
8.05416666666653,0.09887146495683,True,False,goal_reached,False,2,0.35,0.65,0.03,4
8.724999999999826,0.09746712844326248,True,False,goal_reached,False,2,0.35,0.45,0.07,2
6.741666666666604,1.154289457321811,False,True,collision,False,2,0.35,0.65,0.03,3
5.862499999999987,0.09969364602519394,True,False,goal_reached,False,2,0.35,0.65,0.05,4
4.329166666666741,2.0528018283730756,False,True,collision,False,2,0.35,0.75,0.03,0
5.862499999999987,0.09969364602519394,True,False,goal_reached,False,2,0.35,0.65,0.07,4
7.22499999999991,0.0982875913596913,True,False,goal_reached,False,2,0.35,0.65,0.07,2
2.241666666666673,3.743199279639347,False,True,collision,False,2,0.35,0.75,0.03,2
4.737500000000051,1.9467231924217485,False,True,collision,False,2,0.35,0.65,0.07,0
8.724999999999826,0.09746712844326248,True,False,goal_reached,False,2,0.35,0.45,0.07,1
2.629166666666692,3.5326969702182125,False,True,collision,False,2,0.35,0.75,0.05,0
6.912499999999928,0.09823558111540164,True,False,goal_reached,False,2,0.35,0.75,0.03,1
6.912499999999928,0.09823558111540164,True,False,goal_reached,False,2,0.35,0.75,0.03,3
5.375000000000015,0.09943391756508047,True,False,goal_reached,False,2,0.35,0.75,0.03,4
6.2333333333333,0.09819211611493847,True,False,goal_reached,False,2,0.35,0.75,0.05,1
6.904166666666595,1.9842918941642245,False,True,collision,False,2,0.35,0.45,0.05,2
5.46250000000001,0.0993039946734965,True,False,goal_reached,False,2,0.35,0.75,0.05,3
5.862499999999987,0.09969364602519394,True,False,goal_reached,False,2,0.35,0.75,0.05,2
5.241666666666689,0.09837151433770135,True,False,goal_reached,False,2,0.35,0.75,0.05,4
5.241666666666689,0.09837151433770135,True,False,goal_reached,False,2,0.35,0.75,0.07,0
8.495833333333172,1.8518971096602594,False,True,collision,False,2,0.35,0.65,0.07,3
4.466666666666733,2.0290825179704837,False,True,collision,False,2,0.35,0.75,0.07,2
6.904166666666595,1.9842918941642245,False,True,collision,False,2,0.35,0.45,0.05,1
2.3250000000000104,3.5568675740516538,False,True,collision,False,2,0.45,0.35,0.03,3
5.862499999999987,0.09969364602519394,True,False,goal_reached,False,2,0.35,0.75,0.07,3
6.904166666666595,1.9842918941642245,False,True,collision,False,2,0.35,0.45,0.05,4
6.912499999999928,0.09823558111540164,True,False,goal_reached,False,2,0.45,0.35,0.03,0
5.208333333333358,1.3982857360880188,False,True,collision,False,2,0.45,0.35,0.03,2
7.741666666666547,0.09764767134193739,True,False,goal_reached,False,2,0.35,0.75,0.07,1
5.208333333333358,1.3982857360880188,False,True,collision,False,2,0.45,0.35,0.03,1
5.512500000000007,0.09951067504649264,True,False,goal_reached,False,2,0.35,0.75,0.07,4
4.270833333333411,1.4083460504304202,False,True,collision,False,2,0.45,0.35,0.03,4
5.8833333333333195,2.043127635848106,False,True,collision,False,2,0.35,0.35,0.07,1
9.041666666666474,0.09858693706936313,True,False,goal_reached,False,2,0.35,0.65,0.05,3
5.8833333333333195,2.043127635848106,False,True,collision,False,2,0.35,0.35,0.07,3
5.8833333333333195,2.043127635848106,False,True,collision,False,2,0.35,0.35,0.07,4
1.6041666666666623,3.7153707104226386,False,True,collision,False,2,0.45,0.45,0.03,1
5.8833333333333195,2.043127635848106,False,True,collision,False,2,0.35,0.35,0.07,2
2.495833333333352,3.2062438984969206,False,True,collision,False,2,0.45,0.45,0.03,0
7.504166666666561,0.09930094847685139,True,False,goal_reached,False,2,0.45,0.35,0.05,0
5.237500000000023,0.09849072808696258,True,False,goal_reached,False,2,0.45,0.35,0.05,4
5.8833333333333195,2.043127635848106,False,True,collision,False,2,0.35,0.35,0.07,0
2.495833333333352,3.2062438984969206,False,True,collision,False,2,0.45,0.45,0.03,2
8.724999999999826,0.09746712844326248,True,False,goal_reached,False,2,0.35,0.45,0.07,3
7.504166666666561,0.09930094847685139,True,False,goal_reached,False,2,0.45,0.35,0.05,3
